Tenure,MonthlyCharge,StreamingMovies,StreamingTV,Contract_Two Year,Contract_One year,Multiple,InternetService_Fiber Optic,Item4,Phone,PaymentMethod_Credit Card (automatic),Churn
70.10448,149.9378,1,0,False,False,0,False,3,1,False,0
9.300517617,257.651257,1,1,False,False,1,False,4,1,False,1
11.72200614,175.004777,0,1,True,False,1,False,2,0,False,0
60.20473,152.4441,0,1,True,False,0,False,3,1,False,0
56.08175,184.961,1,0,False,True,1,False,2,1,True,0
52.66447,194.9581,0,1,False,True,1,True,2,1,True,0
58.95425,92.48802,0,0,False,False,0,False,3,1,False,0
48.00544,162.4653,1,0,False,False,1,False,3,1,False,1
8.187262,169.9928,0,0,False,False,1,True,4,1,False,1
13.29584,139.9568,0,1,False,False,0,True,4,1,False,0
55.3519,179.9794,0,0,False,False,1,True,7,1,True,0
12.07358377,137.469817,0,0,True,False,1,False,4,1,False,0
25.72493,124.9781,0,0,False,True,0,True,3,1,False,0
48.31617,159.9794,0,0,False,False,1,False,4,1,False,0
70.36396,127.4586,0,1,False,True,0,False,2,0,True,0
52.68582,210.1518,1,1,False,False,0,False,3,1,False,0
58.50824,149.9621,0,1,False,True,0,True,5,1,True,0
46.55588,162.4713,0,1,True,False,0,True,3,1,False,0
15.46234,179.9476,1,0,False,True,1,True,5,1,False,0
64.02401,162.4608,1,0,False,True,0,False,4,1,False,0
68.79305,144.9607,0,0,False,True,1,True,3,1,False,0
59.6819,182.4538,0,1,False,False,1,True,4,1,True,0
42.82228,137.4686,0,0,False,True,0,True,3,1,False,0
65.44503,129.9621,0,1,True,False,0,False,1,1,False,0
59.25503,149.9928,0,0,False,False,1,False,2,1,False,0
50.8022,129.9598,1,0,False,False,0,False,4,1,False,0
4.525864256,137.439154,0,1,False,False,0,True,3,0,False,0
61.62973,167.4564,0,0,False,False,1,True,5,1,True,0
11.92905011,172.470522,1,0,False,False,1,False,3,1,True,1
9.472450618,204.949594,0,1,False,False,1,True,5,1,False,1
2.237136,142.5007,0,0,False,True,0,False,5,1,False,0
59.14141,232.6378,1,1,False,False,1,False,3,1,False,0
12.01513041,142.452604,0,1,False,False,0,False,3,1,False,1
68.77621,210.138,1,1,False,False,0,False,4,1,False,0
1.76975,172.4441,0,1,False,True,0,True,4,1,False,0
6.21102,222.6143,1,1,False,True,0,False,2,1,False,1
46.05744,172.4555,1,0,False,False,0,True,4,0,True,0
9.8256,127.4421,1,0,False,True,0,False,3,1,False,0
67.09737,220.1615,1,1,False,False,1,False,3,1,False,0
44.21572,262.6106,1,1,False,True,1,True,3,0,False,0
21.19498,235.1591,1,1,True,False,0,True,4,1,False,0
1.156719701,137.461553,1,0,False,False,0,False,6,1,True,1
17.7076,222.65,1,1,True,False,0,True,4,1,True,0
56.50306,217.4725,0,1,False,True,1,True,3,1,False,0
12.5247,204.961,1,0,False,False,1,True,4,1,False,1
43.86844,152.4907,0,1,True,False,0,False,4,1,True,0
71.86603,139.965,1,0,False,False,0,False,4,1,False,0
17.76511,162.4818,0,1,False,False,1,False,5,1,True,0
3.081551,169.9378,1,0,False,True,0,True,4,1,False,0
68.6711,184.9785,1,0,False,False,0,True,3,1,True,0
68.02064,147.4564,0,0,False,False,1,False,4,1,False,0
6.708628,197.4702,1,0,True,False,1,False,2,1,False,1
71.07998,222.6792,1,1,True,False,1,False,3,1,True,0
